# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
723.845821,6.656756,8.449466,6.497219,8.101600,0.541509,0.541509,0.925815,0.000641,0.785744,0.785744
724.562614,7.495222,6.004712,7.845291,6.161695,0.541622,1.884353,0.925356,0.000640,0.785743,0.785743
727.056403,4.221352,6.394773,4.001519,5.984590,1.020126,1.020126,0.923763,0.000637,0.785742,0.785742
728.405482,26.160265,31.062312,25.512888,30.222499,0.267233,0.267233,0.922904,0.000636,0.785741,0.785741
728.758750,24.704028,21.438146,25.350337,21.885736,0.267261,1.254137,0.922679,0.000636,0.785741,0.785741
730.416482,4.590982,5.746647,4.525506,5.481671,0.757560,0.757560,0.921627,0.000634,0.785740,0.785740
731.417355,4.715786,4.539129,4.868439,4.488724,0.757778,1.060492,0.920993,0.000633,0.785740,0.785740
732.818053,3.123406,3.224078,3.231551,3.127291,1.060919,1.493325,0.920107,0.000632,0.785739,0.785739
734.789643,4.908962,6.957122,4.694440,6.538216,0.739521,0.739521,0.918863,0.000630,0.785738,0.785738
735.765459,4.686589,5.144991,4.736296,4.986641,0.739727,0.975980,0.918249,0.000629,0.785738,0.785738
737.052929,3.624403,4.153722,3.662729,3.981646,0.976338,1.158357,0.917440,0.000628,0.785737,0.785737
738.580421,3.906569,5.226648,3.809630,4.917989,1.008348,1.008348,0.916482,0.000626,0.785737,0.785737
739.909524,8.578148,10.916604,8.303944,10.428508,0.504161,0.504161,0.915651,0.000625,0.785736,0.785736
740.573807,8.532681,7.591421,8.833785,7.673638,0.504256,0.898413,0.915236,0.000624,0.785736,0.785736
741.757336,4.251205,3.560145,4.511418,3.598678,0.898714,1.623248,0.914498,0.000623,0.785735,0.785735
743.895013,3.067918,4.482349,2.950725,4.144745,1.101706,1.101706,0.913168,0.000621,0.785734,0.785734
745.344990,4.392221,6.044379,4.231509,5.661605,0.877418,0.877418,0.912269,0.000620,0.785734,0.785734
746.499306,4.920995,6.148752,4.835696,5.838470,0.877702,0.893625,0.911554,0.000619,0.785733,0.785733
747.674564,10.154317,12.314887,9.896050,11.828819,0.432175,0.432175,0.910828,0.000617,0.785733,0.785733
748.242754,11.745284,9.511789,12.311206,9.844490,0.432244,1.835807,0.910477,0.000617,0.785732,0.785732
750.655950,32.652798,38.241678,31.750676,37.108796,0.236315,0.236315,0.908991,0.000615,0.785731,0.785731
750.966381,31.563218,27.500004,32.490888,28.190399,0.236336,1.462669,0.908800,0.000614,0.785731,0.785731
752.887622,3.081901,4.028930,3.046815,3.756934,1.092879,1.092879,0.907622,0.000613,0.785730,0.785730
754.322370,3.361347,4.354758,3.317172,4.071949,1.093314,1.155945,0.906744,0.000611,0.785730,0.785730
755.839309,5.488298,7.432977,5.259069,6.963738,0.708172,0.708172,0.905818,0.000610,0.785729,0.785729
756.768248,5.166067,5.521374,5.247363,5.358786,0.708353,1.016832,0.905252,0.000609,0.785729,0.785729
758.101729,6.276126,7.784102,6.128632,7.390583,0.609119,0.609119,0.904441,0.000608,0.785728,0.785728
758.900238,6.582781,5.756476,6.906493,5.829716,0.609253,1.054547,0.903956,0.000607,0.785728,0.785728
760.282367,3.284549,2.996847,3.500819,2.960711,1.054948,1.845350,0.903118,0.000606,0.785727,0.785727
762.700033,6.829161,9.732553,6.397235,9.050723,0.682083,0.682083,0.901656,0.000604,0.785726,0.785726
763.593066,8.227462,9.817487,8.058996,9.395072,0.545823,0.545823,0.901117,0.000603,0.785726,0.785726
764.307523,7.717437,6.571144,8.119618,6.714568,0.545929,1.360143,0.900687,0.000602,0.785725,0.785725
766.087540,4.151573,5.560251,4.018227,5.167917,0.864584,0.864584,0.899617,0.000600,0.785724,0.785724
767.218472,4.862240,5.702712,4.848171,5.426641,0.812892,0.812892,0.898938,0.000599,0.785724,0.785724
768.281462,4.495238,4.487846,4.663463,4.390761,0.813127,1.080058,0.898302,0.000598,0.785724,0.785724
769.693407,3.500768,3.974060,3.566313,3.772484,1.054060,1.054060,0.897457,0.000597,0.785723,0.785723
771.070839,3.054372,3.400869,3.148205,3.225625,1.054452,1.447428,0.896636,0.000596,0.785722,0.785722
772.961618,4.456926,6.451032,4.191935,5.917218,0.885489,0.885489,0.895510,0.000594,0.785722,0.785722
774.117745,6.011388,7.711766,5.808433,7.237074,0.712596,0.712596,0.894824,0.000593,0.785721,0.785721
775.047847,6.263961,6.888489,6.298620,6.647524,0.712773,0.729451,0.894273,0.000592,0.785721,0.785721
775.999712,5.535895,5.149110,5.800246,5.134045,0.729637,0.996522,0.893709,0.000592,0.785720,0.785720
777.299749,3.601484,3.420633,3.821239,3.358679,0.996869,1.424200,0.892941,0.000590,0.785720,0.785720
779.157077,3.607450,4.981324,3.472535,4.564819,0.914362,0.914362,0.891845,0.000589,0.785719,0.785719
780.348925,3.550514,4.089975,3.606705,3.861818,0.914652,1.372721,0.891144,0.000588,0.785719,0.785719
782.137664,16.067969,19.987609,15.345322,18.980450,0.353397,0.353397,0.890094,0.000586,0.785718,0.785718
782.597944,14.700927,12.596444,15.380858,12.985936,0.353440,1.298395,0.889825,0.000586,0.785718,0.785718
784.288823,3.534070,4.531394,3.484326,4.190607,1.114131,1.114131,0.888835,0.000584,0.785717,0.785717
